title,year,rating,votes,image_url,detail_url,genres,duration,directors,writers,actors,plot
Cadena perpetua,1994,9.3,3200000,"https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0111161/,"Epic, Period Drama, Prison Drama, Drama",2h 22m,Frank Darabont,"Stephen King, Frank Darabont","Morgan Freeman, Bob Gunton, Tim Robbins","A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion."
El padrino,1972,9.2,2200000,"https://m.media-amazon.com/images/M/MV5BNTljNjllNDAtMzc0MS00ZGExLThlOTktOTRlNzc3YjA3ZWFlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0068646/,"Epic, Gangster, Psychological Drama, Tragedy, Crime, Drama",2h 55m,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Marlon Brando, Al Pacino, James Caan",The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
El caballero oscuro,2008,9.1,3100000,"https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0468569/,"Action Epic, Epic, Psychological Drama, Psychological Thriller, Superhero, Tragedy, Action, Crime, Drama, Thriller",2h 32m,Christopher Nolan,"Jonathan Nolan, Christopher Nolan, David S. Goyer","Christian Bale, Heath Ledger, Aaron Eckhart","When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness."
El padrino parte II,1974,9.0,1500000,"https://m.media-amazon.com/images/M/MV5BMjQ5MzQxZTEtMmE1Yy00NjZlLTk5ODItNjI3MWIxMjk1M2U5XkEyXkFqcGc@._V1_QL75_UY133_CR7,0,90,133_.jpg",https://www.imdb.com/title/tt0071562/,"Epic, Gangster, Tragedy, Crime, Drama",3h 22m,Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Robert De Niro, Al Pacino, Robert Duvall","The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
12 hombres sin piedad,1957,9.0,972000,"https://m.media-amazon.com/images/M/MV5BYThhOGFhODktNGEwNi00MzY2LTg3YWYtNzAzZTE0MTFlMWQxXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",https://www.imdb.com/title/tt0050083/,"Legal Drama, Psychological Drama, Crime, Drama",1h 36m,Sidney Lumet,Reginald Rose,"Martin Balsam, Lee J. Cobb, Henry Fonda",The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
El señor de los anillos: El retorno del rey,2003,9.0,2100000,"https://m.media-amazon.com/images/M/MV5BZGEzZDkzNDgtMGMzZi00NjNhLTliNWMtMTllYzQ2OTQwNGFkXkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg",https://www.imdb.com/title/tt0167260/,"Action Epic, Adventure Epic, Epic, Fantasy Epic, Mountain Adventure, Quest, Sword & Sorcery, Tragedy, Adventure, Drama",3h 21m,Peter Jackson,"J.R.R. Tolkien, Philippa Boyens, Fran Walsh","Ian McKellen, Viggo Mortensen, Elijah Wood",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
La lista de Schindler,1993,9.0,1600000,"https://m.media-amazon.com/images/M/MV5BZWUyNTJmOTMtZGM4MC00NWE2LThmZTUtZWE1NGM2YzYwZjRlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0108052/,"Docudrama, Epic, Historical Epic, Period Drama, Prison Drama, Psychological Drama, Tragedy, Biography, Drama, History",3h 15m,Steven Spielberg,"Thomas Keneally, Steven Zaillian","Liam Neeson, Ben Kingsley, Ralph Fiennes","In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
El señor de los anillos: La comunidad del anillo,2001,8.9,2200000,"https://m.media-amazon.com/images/M/MV5BNDM0ZTRjNDAtMWFiOS00MjZiLThhZjYtNGQ0ODQ5MGE3Y2Y0XkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0120737/,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy",2h 58m,Peter Jackson,"J.R.R. Tolkien, Philippa Boyens, Fran Walsh","Orlando Bloom, Ian McKellen, Elijah Wood",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
Pulp Fiction,1994,8.8,2400000,"https://m.media-amazon.com/images/M/MV5BMzNlNGRkZWYtNmE0Yy00NjQyLWFmMzItYWY5NGM2YWU4OWYwXkEyXkFqcGc@._V1_QL75_UY133_CR4,0,90,133_.jpg",https://www.imdb.com/title/tt0110912/,"Dark Comedy, Drug Crime, Gangster, Crime, Drama",2h 34m,Quentin Tarantino,"Quentin Tarantino, Roger Avary","John Travolta, Samuel L. Jackson, Uma Thurman","The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
"El bueno, el feo y el malo",1966,8.8,884000,"https://m.media-amazon.com/images/M/MV5BN2FmNmM5OTUtODEwMC00NDE5LWI4ZTUtZTg1ZmZlYjVjN2EyXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0060196/,"Action Epic, Adventure Epic, Dark Comedy, Desert Adventure, Epic, Period Drama, Quest, Spaghetti Western, Western Epic, Adventure",3h 2m,Sergio Leone,"Sergio Leone, Agenore Incrocci, Luciano Vincenzoni","Eli Wallach, Lee Van Cleef, Clint Eastwood",A bounty-hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
El señor de los anillos: Las dos torres,2002,8.8,1900000,"https://m.media-amazon.com/images/M/MV5BNjJhZjZlNjktZTEwYi00MmMwLTgyYTgtYmMyMmRlOWMzNmRjXkEyXkFqcGc@._V1_QL75_UY133_CR5,0,90,133_.jpg",https://www.imdb.com/title/tt0167261/,"Action Epic, Adventure Epic, Dark Fantasy, Epic, Fantasy Epic, Quest, Sword & Sorcery, Adventure, Drama, Fantasy",2h 59m,Peter Jackson,"J.R.R. Tolkien, Philippa Boyens, Fran Walsh","Viggo Mortensen, Ian McKellen, Elijah Wood","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
Forrest Gump,1994,8.8,2500000,"https://m.media-amazon.com/images/M/MV5BOWQ0NzQ5MDItYTA3Yy00Y2ZjLWFlMGQtNjcxYzU4MWM3NzFmXkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0109830/,"Epic, Period Drama, Romantic Epic, Tragic Romance, Drama, Romance",2h 22m,Robert Zemeckis,"Winston Groom, Eric Roth","Gary Sinise, Tom Hanks, Robin Wright","The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart."
El club de la lucha,1999,8.8,2600000,"https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0137523/,"Dark Comedy, Psychological Drama, Psychological Thriller, Workplace Drama, Crime, Drama, Thriller",2h 19m,David Fincher,"Chuck Palahniuk, Jim Uhls","Meat Loaf, Brad Pitt, Edward Norton",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
Origen,2010,8.8,2800000,"https://m.media-amazon.com/images/M/MV5BNTQxYmM1NzQtY2FiZS00MzRhLTljZDYtZjRmMGNiMWI3NTQxXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt1375666/,"Action Epic, Adventure Epic, Epic, Psychological Thriller, Sci-Fi Epic, Action, Adventure, Sci-Fi, Thriller",2h 28m,Christopher Nolan,Christopher Nolan,"Leonardo DiCaprio, Elliot Page, Joseph Gordon-Levitt","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a CEO, but his tragic past may doom the project and his team to disaster."
El imperio contraataca,1980,8.7,1500000,"https://m.media-amazon.com/images/M/MV5BZWQyNTJkMTAtZWQ0Zi00NGFlLWI2ZDktNTA4MzM5NDQ0MTk4XkEyXkFqcGc@._V1_QL75_UX90_CR0,2,90,133_.jpg",https://www.imdb.com/title/tt0080684/,"Action Epic, Adventure Epic, Dark Fantasy, Dystopian Sci-Fi, Epic, Fantasy Epic, Quest, Sci-Fi Epic, Space Sci-Fi, Sword & Sorcery",2h 4m,Irvin Kershner,"Leigh Brackett, Lawrence Kasdan, George Lucas","Mark Hamill, Harrison Ford, Carrie Fisher","After the Empire overpowers the Rebel Alliance, Luke Skywalker begins training with Jedi Master Yoda, while Darth Vader and bounty hunter Boba Fett pursue his friends across the galaxy."
Matrix,1999,8.7,2200000,"https://m.media-amazon.com/images/M/MV5BNGE1YzI4NzMtZTUxNi00Y2I5LTg2MmQtODE0NThmYTFmMDk0XkEyXkFqcGc@._V1_QL75_UY133_CR6,0,90,133_.jpg",https://www.imdb.com/title/tt0133093/,"Action Epic, Artificial Intelligence, Cyberpunk, Dystopian Sci-Fi, Gun Fu, Martial Arts, Sci-Fi Epic, Action, Sci-Fi",2h 16m,"Lilly Wachowski, Lana Wachowski","Lilly Wachowski, Lana Wachowski","Carrie-Anne Moss, Laurence Fishburne, Keanu Reeves","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
Uno de los nuestros,1990,8.7,1400000,"https://m.media-amazon.com/images/M/MV5BYTE0MmJhNGUtZDI5My00YThhLTk1NmItNDExOWUxMjg1YzUxXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",https://www.imdb.com/title/tt0099685/,"Docudrama, Gangster, True Crime, Biography, Crime, Drama",2h 25m,Martin Scorsese,"Martin Scorsese, Nicholas Pileggi","Ray Liotta, Robert De Niro, Joe Pesci","The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito."
Interstellar,2014,8.7,2500000,"https://m.media-amazon.com/images/M/MV5BYzdjMDAxZGItMjI2My00ODA1LTlkNzItOWFjMDU5ZDJlYWY3XkEyXkFqcGc@._V1_QL75_UX90_CR0,0,90,133_.jpg",https://www.imdb.com/title/tt0816692/,"Adventure Epic, Epic, Psychological Drama, Quest, Sci-Fi Epic, Space Sci-Fi, Time Travel, Adventure, Drama, Sci-Fi",2h 49m,Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Jessica Chastain, Matthew McConaughey, Anne Hathaway","When Earth becomes uninhabitable in the future, a farmer and ex-NASA pilot, Joseph Cooper, is tasked to pilot a spacecraft, along with a team of researchers, to find a new planet for humans."
Alguien voló sobre el nido del cuco,1975,8.6,1100000,"https://m.media-amazon.com/images/M/MV5BYjdkNjdlNDgtZTM1My00YzEwLTk5YjItYjE3YzllZTViNTVlXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",https://www.imdb.com/title/tt0073486/,"Dark Comedy, Medical Drama, Psychological Drama, Drama",2h 13m,Milos Forman,"Bo Goldman, Lawrence Hauben, Ken Kesey","Louise Fletcher, Jack Nicholson, Michael Berryman","A rebellious convict is sent to a psychiatric hospital for evaluation in 1963 Oregon, and encourages his docile companions to take more control of their lives and defy the tyrannical head nurse."
Seven,1995,8.6,2000000,"https://m.media-amazon.com/images/M/MV5BMjk4YWQ5YTItZTk2OS00MTcxLWIwNjctZjE3NzNhNjQzZjI2XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0114369/,"Cop Drama, Hard-boiled Detective, Police Procedural, Psychological Drama, Psychological Thriller, Serial Killer, Tragedy, Crime, Drama, Mystery",2h 7m,David Fincher,Andrew Kevin Walker,"Morgan Freeman, Brad Pitt, Kevin Spacey","Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
Qué bello es vivir,1946,8.6,551000,"https://m.media-amazon.com/images/M/MV5BNzg5YjAwODItZmNiNC00OGEwLWIzYmMtNzc3ZTc5MmM4NDc0XkEyXkFqcGc@._V1_QL75_UX90_CR0,1,90,133_.jpg",https://www.imdb.com/title/tt0038650/,"Feel-Good Romance, Holiday Family, Holiday Romance, Psychological Drama, Supernatural Fantasy, Drama, Family, Fantasy, Holiday, Romance",2h 10m,Frank Capra,"Albert Hackett, Frances Goodrich, Frank Capra","James Stewart, Lionel Barrymore, Donna Reed",An angel is sent from Heaven to help a desperately frustrated businessman see the value of his own life.
El silencio de los corderos,1991,8.6,1700000,"https://m.media-amazon.com/images/M/MV5BOGZiZjYxY2UtNDE5YS00NzcwLWI0NmItNjcwYThkOWMwYTdhXkEyXkFqcGc@._V1_QL75_UY133_CR1,0,90,133_.jpg",https://www.imdb.com/title/tt0102926/,"Police Procedural, Psychological Drama, Psychological Horror, Psychological Thriller, Serial Killer, Crime, Drama, Horror, Thriller",1h 58m,Jonathan Demme,"Thomas Harris, Ted Tally","Jodie Foster, Scott Glenn, Anthony Hopkins","A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
Los siete samuráis,1954,8.6,399000,"https://m.media-amazon.com/images/M/MV5BYzc0ODMyMzctZTA5Zi00MGZhLWE0NTItZjJhOTE3OWMxZjBlXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0047478/,"Japanese, Action Epic, Epic, Period Drama, Samurai, Action, Drama",3h 27m,Akira Kurosawa,"Shinobu Hashimoto, Akira Kurosawa, Hideo Oguni","Keiko Tsushima, Takashi Shimura, Toshirô Mifune","Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him."
Salvar al soldado Ryan,1998,8.6,1600000,"https://m.media-amazon.com/images/M/MV5BMzU0YTgzM2EtYWNmMy00NWM1LWE0NTMtYjFhZDNlMDU1NWJmXkEyXkFqcGc@._V1_QL75_UY133_CR2,0,90,133_.jpg",https://www.imdb.com/title/tt0120815/,"Epic, Period Drama, Psychological Drama, Tragedy, War Epic, Drama, War",2h 49m,Steven Spielberg,Robert Rodat,"Tom Sizemore, Tom Hanks, Matt Damon","Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action."
La milla verde,1999,8.6,1500000,"https://m.media-amazon.com/images/M/MV5BM2VlMDA2NWYtYzQxZi00NGIyLTk0OTYtMGY3ODFmOGFhMTI3XkEyXkFqcGc@._V1_QL75_UY133_CR6,0,90,133_.jpg",https://www.imdb.com/title/tt0120689/,"Period Drama, Prison Drama, Supernatural Fantasy, Tragedy, Crime, Drama, Fantasy, Mystery",3h 9m,Frank Darabont,"Stephen King, Frank Darabont","David Morse, Michael Clarke Duncan, Tom Hanks",A death row guard learns that a gentle giant in his charge possesses a mysterious gift.
